category,description,estimatedTime,imageName,ingredients,procedure,subcategory,title,times,isFavorite
dinner,Learn how to make these crispy Baked Crab Rangoons filled with creamy crabmeat! Watch the video to find out more about this Healthy Living appetizer recipe.,40.0,Baked Crab Rangoon.jpg,"4 oz. (1/2 of 8-oz. pkg.) PHILADELPHIA Neufchatel Cheese, softened, 1 can (6 oz.) crabmeat, drained, flaked, 2 green onions, thinly sliced, 1/4 cup KRAFT Light Mayo Reduced Fat Mayonnaise, 12 wonton wrappers","4 oz. (1/2 of 8-oz. pkg.) PHILADELPHIA Neufchatel Cheese, softened, 1 can (6 oz.) crabmeat, drained, flaked, 2 green onions, thinly sliced, 1/4 cup KRAFT Light Mayo Reduced Fat Mayonnaise, 12 wonton wrappers",Dinner Recipes,Baked Crab Rangoon,"4 oz. (1/2 of 8-oz. pkg.) PHILADELPHIA Neufchatel Cheese, softened, 1 can (6 oz.) crabmeat, drained, flaked, 2 green onions, thinly sliced, 1/4 cup KRAFT Light Mayo Reduced Fat Mayonnaise, 12 wonton wrappers",True
dinner,Enjoy a devilishly good Country-Style Smashed Potato Salad. You can thank the hard-cooked eggs & MIRACLE WHIP for this smashed potato salad's great flavor.,35.0,Country-Style Smashed Potato Salad.jpg,"3 lb. Yukon gold potatoes (about 6 large), peeled, cut into 1-inch chunks, 4 hard-cooked eggs, divided, 3 green onions, thinly sliced, 1 stalk celery, chopped, 6 radishes, thinly sliced, 2 Tbsp. CLAUSSEN Sweet Pickle Relish, 3/4 cup MIRACLE WHIP Dressing, 1 Tbsp. white wine vinegar, 1/2 tsp. paprika","3 lb. Yukon gold potatoes (about 6 large), peeled, cut into 1-inch chunks, 4 hard-cooked eggs, divided, 3 green onions, thinly sliced, 1 stalk celery, chopped, 6 radishes, thinly sliced, 2 Tbsp. CLAUSSEN Sweet Pickle Relish, 3/4 cup MIRACLE WHIP Dressing, 1 Tbsp. white wine vinegar, 1/2 tsp. paprika",Dinner Recipes,Country-Style Smashed Potato Salad,"3 lb. Yukon gold potatoes (about 6 large), peeled, cut into 1-inch chunks, 4 hard-cooked eggs, divided, 3 green onions, thinly sliced, 1 stalk celery, chopped, 6 radishes, thinly sliced, 2 Tbsp. CLAUSSEN Sweet Pickle Relish, 3/4 cup MIRACLE WHIP Dressing, 1 Tbsp. white wine vinegar, 1/2 tsp. paprika",False
dinner,"Enjoy a bowl of our Hearty Italian Sausage Soup in just 40 minutes! Cook up the meat, onions, garlic and more to put in your delicious sausage soup.",40.0,Hearty Italian Sausage Soup.jpg,"1 pkg. (13 oz.) OSCAR MAYER Natural Uncured Italian Style Herb Sausage, cut into 1/4-inch-thick slices, 1 onion, chopped, 2 cloves garlic, minced, 2 cans (14 oz. each) fat-free reduced-sodium chicken broth, 1-1/2 cups water, 1 can (15 oz.) cannellini beans, rinsed, 1 can (14.5 oz.) stewed tomatoes, undrained, 1 cup rotini pasta, uncooked, 2 cups tightly packed torn stemmed kale, 2/3 cup KRAFT Shredded Mozzarella Cheese","1 pkg. (13 oz.) OSCAR MAYER Natural Uncured Italian Style Herb Sausage, cut into 1/4-inch-thick slices, 1 onion, chopped, 2 cloves garlic, minced, 2 cans (14 oz. each) fat-free reduced-sodium chicken broth, 1-1/2 cups water, 1 can (15 oz.) cannellini beans, rinsed, 1 can (14.5 oz.) stewed tomatoes, undrained, 1 cup rotini pasta, uncooked, 2 cups tightly packed torn stemmed kale, 2/3 cup KRAFT Shredded Mozzarella Cheese",Dinner Recipes,Hearty Italian Sausage Soup,"1 pkg. (13 oz.) OSCAR MAYER Natural Uncured Italian Style Herb Sausage, cut into 1/4-inch-thick slices, 1 onion, chopped, 2 cloves garlic, minced, 2 cans (14 oz. each) fat-free reduced-sodium chicken broth, 1-1/2 cups water, 1 can (15 oz.) cannellini beans, rinsed, 1 can (14.5 oz.) stewed tomatoes, undrained, 1 cup rotini pasta, uncooked, 2 cups tightly packed torn stemmed kale, 2/3 cup KRAFT Shredded Mozzarella Cheese",False
dinner,Savor Lentil Soup during cold months or year-round. This lentil soup is made even heartier with the addition of bacon & thickly sliced OSCAR MAYER Wieners.,50.0,Lentil Soup.jpg,"6 slices OSCAR MAYER Bacon, chopped, 1 small onion, chopped, 1 clove garlic, minced, 3 cans (14-1/2 oz. each) fat-free reduced-sodium chicken broth, 1/2 lb. dry lentils, sorted, washed, 1/2 lb. red potato (1 large potato), chopped, 3 small carrot s (1/4 lb.), chopped, 3 OSCAR MAYER Wieners, cut into 1/4-inch-thick slices, ""1/2 cup BREAKSTONES or KNUDSEN Sour Cream""","6 slices OSCAR MAYER Bacon, chopped, 1 small onion, chopped, 1 clove garlic, minced, 3 cans (14-1/2 oz. each) fat-free reduced-sodium chicken broth, 1/2 lb. dry lentils, sorted, washed, 1/2 lb. red potato (1 large potato), chopped, 3 small carrot s (1/4 lb.), chopped, 3 OSCAR MAYER Wieners, cut into 1/4-inch-thick slices, ""1/2 cup BREAKSTONES or KNUDSEN Sour Cream""",Dinner Recipes,Lentil Soup,"6 slices OSCAR MAYER Bacon, chopped, 1 small onion, chopped, 1 clove garlic, minced, 3 cans (14-1/2 oz. each) fat-free reduced-sodium chicken broth, 1/2 lb. dry lentils, sorted, washed, 1/2 lb. red potato (1 large potato), chopped, 3 small carrot s (1/4 lb.), chopped, 3 OSCAR MAYER Wieners, cut into 1/4-inch-thick slices, ""1/2 cup BREAKSTONES or KNUDSEN Sour Cream""",False
dinner,"Trying to find a speedy beef stir-fry that'll please the whole family? This one, with a blend of BBQ sauce and beef broth, is one of our faves.",25.0,Speedy Barbecue Beef Stir-Fry.jpg,"1/4 cup KRAFT Original Barbecue Sauce, 3 Tbsp. fat-free reduced-sodium beef broth, 1 lb. boneless beef sirloin steak, cut into strips, 1 small onion, sliced, 1 large carrot, thinly sliced, 1 Tbsp. oil, 2 cups hot cooked long-grain white rice","1/4 cup KRAFT Original Barbecue Sauce, 3 Tbsp. fat-free reduced-sodium beef broth, 1 lb. boneless beef sirloin steak, cut into strips, 1 small onion, sliced, 1 large carrot, thinly sliced, 1 Tbsp. oil, 2 cups hot cooked long-grain white rice",Dinner Recipes,Speedy Barbecue Beef Stir-Fry,"1/4 cup KRAFT Original Barbecue Sauce, 3 Tbsp. fat-free reduced-sodium beef broth, 1 lb. boneless beef sirloin steak, cut into strips, 1 small onion, sliced, 1 large carrot, thinly sliced, 1 Tbsp. oil, 2 cups hot cooked long-grain white rice",True
dinner,"Escape from the ordinary: Mandarin oranges and fresh raspberries add a bright and refreshing twist to salad greens, with sliced almonds providing a fun crunch.",10.0,Fruit & Almond Salad.jpg,"1 pkg. (5 oz.) torn salad greens, 1 can (11 oz.) mandarin oranges, drained, 1 cup fresh raspberries, 1 cup KRAFT 2% Milk Shredded Mozzarella Cheese, 1/3 cup PLANTERS Sliced Almonds, toasted, 1/4 cup KRAFT Lite Raspberry Vinaigrette Dressing","1 pkg. (5 oz.) torn salad greens, 1 can (11 oz.) mandarin oranges, drained, 1 cup fresh raspberries, 1 cup KRAFT 2% Milk Shredded Mozzarella Cheese, 1/3 cup PLANTERS Sliced Almonds, toasted, 1/4 cup KRAFT Lite Raspberry Vinaigrette Dressing",Dinner Recipes,Fruit & Almond Salad,"1 pkg. (5 oz.) torn salad greens, 1 can (11 oz.) mandarin oranges, drained, 1 cup fresh raspberries, 1 cup KRAFT 2% Milk Shredded Mozzarella Cheese, 1/3 cup PLANTERS Sliced Almonds, toasted, 1/4 cup KRAFT Lite Raspberry Vinaigrette Dressing",False
dinner,Do you know what totchos are? You will after watching our How to Make Totchos cooking video. Hint: There are ORE-IDA TATER TOTS and some cheese involved.,42.0,Loaded Totchos.jpg,"1 pkg. (32 oz.) ORE-IDA TATER TOTS, ""1 container (8 oz.) BREAKSTONES or KNUDSEN Sour Cream"", 1/4 cup KRAFT Classic Ranch Dressing, 3 Tbsp. chopped fresh chives, divided, 1 pkg. (8 oz.) KRAFT Shredded Cheddar Cheese, 4 slices OSCAR MAYER Bacon, cooked, crumbled","1 pkg. (32 oz.) ORE-IDA TATER TOTS, ""1 container (8 oz.) BREAKSTONES or KNUDSEN Sour Cream"", 1/4 cup KRAFT Classic Ranch Dressing, 3 Tbsp. chopped fresh chives, divided, 1 pkg. (8 oz.) KRAFT Shredded Cheddar Cheese, 4 slices OSCAR MAYER Bacon, cooked, crumbled",Dinner Recipes,Loaded Totchos,"1 pkg. (32 oz.) ORE-IDA TATER TOTS, ""1 container (8 oz.) BREAKSTONES or KNUDSEN Sour Cream"", 1/4 cup KRAFT Classic Ranch Dressing, 3 Tbsp. chopped fresh chives, divided, 1 pkg. (8 oz.) KRAFT Shredded Cheddar Cheese, 4 slices OSCAR MAYER Bacon, cooked, crumbled",True
dinner,This winning combination of peanuts and dressing will dress up your chicken any night of the week!,30.0,Chicken in Cilantro-Peanut Sauce.jpg,"1/2 cup chicken broth, 1/2 cup KRAFT Zesty Italian Dressing, divided, 1/2 cup coarsely chopped fresh cilantro, 1/2 cup PLANTERS Dry Roasted Peanuts, 1 whole serrano chile, stem removed, 1 onion, chopped, 4 small boneless skinless chicken breasts (1 lb.), 1/2 lb. mushrooms, sliced, 2 cups hot cooked long-grain white rice, ""1/4 cup BREAKSTONES or KNUDSEN Sour Cream""","1/2 cup chicken broth, 1/2 cup KRAFT Zesty Italian Dressing, divided, 1/2 cup coarsely chopped fresh cilantro, 1/2 cup PLANTERS Dry Roasted Peanuts, 1 whole serrano chile, stem removed, 1 onion, chopped, 4 small boneless skinless chicken breasts (1 lb.), 1/2 lb. mushrooms, sliced, 2 cups hot cooked long-grain white rice, ""1/4 cup BREAKSTONES or KNUDSEN Sour Cream""",Dinner Recipes,Chicken in Cilantro-Peanut Sauce,"1/2 cup chicken broth, 1/2 cup KRAFT Zesty Italian Dressing, divided, 1/2 cup coarsely chopped fresh cilantro, 1/2 cup PLANTERS Dry Roasted Peanuts, 1 whole serrano chile, stem removed, 1 onion, chopped, 4 small boneless skinless chicken breasts (1 lb.), 1/2 lb. mushrooms, sliced, 2 cups hot cooked long-grain white rice, ""1/4 cup BREAKSTONES or KNUDSEN Sour Cream""",True
dinner,"Who says a smart salad has to be mostly lettuce—and cold? Heat things up with veggies warm from the grill and the bold flavors of garlic, lemon juice and Parm.",30.0,Grilled Garden Salad.jpg,"2 ears corn on the cob, husks and silk removed, 2 small yellow squash, each cut lengthwise into 3 slices, 2 small zucchini, each cut lengthwise into 3 slices, 2 tomato es, chopped, 1/3 cup KRAFT Zesty Italian Dressing, 2 Tbsp. lemon juice, 1 clove garlic, minced, 3 Tbsp. KRAFT Grated Parmesan Cheese, 2 Tbsp. chopped fresh basil","2 ears corn on the cob, husks and silk removed, 2 small yellow squash, each cut lengthwise into 3 slices, 2 small zucchini, each cut lengthwise into 3 slices, 2 tomato es, chopped, 1/3 cup KRAFT Zesty Italian Dressing, 2 Tbsp. lemon juice, 1 clove garlic, minced, 3 Tbsp. KRAFT Grated Parmesan Cheese, 2 Tbsp. chopped fresh basil",Dinner Recipes,Grilled Garden Salad,"2 ears corn on the cob, husks and silk removed, 2 small yellow squash, each cut lengthwise into 3 slices, 2 small zucchini, each cut lengthwise into 3 slices, 2 tomato es, chopped, 1/3 cup KRAFT Zesty Italian Dressing, 2 Tbsp. lemon juice, 1 clove garlic, minced, 3 Tbsp. KRAFT Grated Parmesan Cheese, 2 Tbsp. chopped fresh basil",False
dinner,Get some seafood into the cookout mix with Spicy BBQ Shrimp Kabobs. BBQ sauce and arbol chiles give Spicy BBQ Shrimp Kabobs their special kick!,20.0,Spicy BBQ Shrimp Kabobs.jpg,"1/2 cup KRAFT Original Barbecue Sauce, 10 arbol chiles, stemmed, 4 slices OSCAR MAYER Baked Cooked Ham, 1 lb. uncooked deveined peeled large shrimp, 2 Tbsp. KRAFT Grated Parmesan Cheese","1/2 cup KRAFT Original Barbecue Sauce, 10 arbol chiles, stemmed, 4 slices OSCAR MAYER Baked Cooked Ham, 1 lb. uncooked deveined peeled large shrimp, 2 Tbsp. KRAFT Grated Parmesan Cheese",Dinner Recipes,Spicy BBQ Shrimp Kabobs,"1/2 cup KRAFT Original Barbecue Sauce, 10 arbol chiles, stemmed, 4 slices OSCAR MAYER Baked Cooked Ham, 1 lb. uncooked deveined peeled large shrimp, 2 Tbsp. KRAFT Grated Parmesan Cheese",False
